Date/Time,Electricity:Facility [J](Monthly),NaturalGas:Facility [J](Monthly),Electricity:Facility [J](Hourly),Electricity:Building [J](Hourly),ElectricityNet:Facility [J](Hourly),Electricity:HVAC [J](Hourly) 
 01/07  05:00:00,,,18462220.263293,11174788.538258582,18462220.263292998,1886079.1906798999 
 01/07  06:00:00,,,25311565.10298939,11871776.164888982,25311565.102989383,8162023.406921759 
 01/07  07:00:00,,,29364879.480555058,13138199.51416194,29364879.48055505,8115377.786508845 
 01/07  08:00:00,,,29625116.26715686,13569696.167684782,29625116.26715686,8068409.662322057 
 01/07  09:00:00,,,27011241.25126858,15077328.723931951,27011241.251268573,8039921.556555196 
 01/07  10:00:00,,,25685013.927112583,14616801.236264933,25685013.927112572,7982077.374921521 
 01/07  11:00:00,,,26838866.597744767,15822834.357428063,26838866.597744767,7929055.72188938 
 01/07  12:00:00,,,30988627.072975475,19811935.269881785,30988627.072975475,7773234.428879915 
 01/07  13:00:00,,,27275133.48637282,15922788.604436446,27275133.486372814,7739688.230276011 
 01/07  14:00:00,,,26531993.842552163,15722880.11041968,26531993.84255215,7706950.742533972 
 01/07  15:00:00,,,26312296.933751374,15522971.616402913,26312296.933751367,7671726.085521189 
 01/07  16:00:00,,,26366726.205952827,15522971.616402913,26366726.205952827,7741351.254819137 
 01/07  17:00:00,,,31136749.81340477,17038873.829578675,31136749.81340476,7821725.768067712 
 01/07  18:00:00,,,33833548.88945787,18011814.403654855,33833548.88945787,7890809.234269093 
 01/07  19:00:00,,,33682966.4351236,17811905.909638084,33682966.43512359,7940736.51433894 
 01/07  20:00:00,,,33890081.46941765,17611997.415621314,33890081.46941763,7966499.961478262 
 01/07  21:00:00,,,33674486.05607411,17412088.921604548,33674486.056074105,7975072.438067974 
 01/07  22:00:00,,,33324782.123002358,17212180.42758778,33324782.123002347,8028837.14257654 
 01/07  23:00:00,,,29921122.744891495,14084177.858593762,29921122.74489149,8059771.85123978 
 01/07  24:00:00,,,32426726.92145957,16059483.37501275,32426726.921459567,8111701.312611779 
 01/08  01:00:00,,,26189824.39648927,11875753.96910454,26189824.396489263,8221073.081267069 
 01/08  02:00:00,,,18335512.131951455,10976868.122852663,18335512.131951455,2357598.9883498745 
 01/08  03:00:00,,,17912386.31784798,10975649.216364183,17912386.31784798,1886079.1906798999 
 01/08  04:00:00,,,18297994.575443383,10876079.555416983,18297994.575443383,2357598.9883498745 
 01/08  05:00:00,,,18549870.841830097,11174788.538258582,18549870.841830097,1886079.1906798999 
 01/08  06:00:00,,,25259085.27202096,11871776.164888982,25259085.27202096,8095545.158177815 
 01/08  07:00:00,,,29397574.366904132,13138199.51416194,29397574.36690413,8148050.143944627 
 01/08  08:00:00,,,29703207.673392937,13569696.167684782,29703207.673392933,8146606.072060438 
 01/08  09:00:00,,,26370339.920878954,14328354.876909893,26370339.920878943,8156000.673198608 
 01/08  10:00:00,,,25485477.713789392,14263692.062084636,25485477.71378939,8143713.249619636 
 01/08  11:00:00,,,26667771.63427367,15469718.123070369,26667771.634273667,8119257.344722376 
 01/08  12:00:00,,,30836479.56347637,19458819.03552409,30836479.563476365,7976788.631504852 
 01/08  13:00:00,,,27109332.914877724,15569672.370078752,27109332.91487772,7940632.166957577 
 01/08  14:00:00,,,26407864.36817235,15369763.87606198,26407864.368172348,7944340.4921094235 
 01/08  15:00:00,,,26249413.853249274,15169855.382045211,26249413.853249267,7970067.051337755 
 01/08  16:00:00,,,26336768.490462497,15169855.382045211,26336768.490462486,8072463.338177683 
 01/08  17:00:00,,,30418250.86098487,16015645.5405721,30418250.860984866,8142748.618209964 
 01/08  18:00:00,,,32437027.07363473,16340474.226810114,32437027.07363472,8189839.2142798975 
 01/08  19:00:00,,,32321730.273532987,16140565.732793346,32321730.273532987,8275050.416679086 
 01/08  20:00:00,,,32581923.851462714,15940657.238776578,32581923.851462707,8353761.579374611 
 01/08  21:00:00,,,32401158.46453145,15740748.744759811,32401158.46453144,8397210.714764863 
 01/08  22:00:00,,,32041818.129015725,15540840.250743045,32041818.12901572,8440678.472579114 
 01/08  23:00:00,,,30358093.662763257,14084177.858593762,30358093.662763253,8496710.205994371 
 01/08  24:00:00,,,32885723.05818478,16059483.37501275,32885723.058184776,8570697.444740703 
 01/09  01:00:00,,,26303778.29223025,11581534.379161809,26303778.29223025,8636560.19611959 
 01/09  02:00:00,,,18313043.930572946,10976868.122852663,18313043.930572946,2357598.988349875 
 01/09  03:00:00,,,17881778.235814594,10975649.216364183,17881778.235814586,1886079.1906798999 
 01/09  04:00:00,,,18250786.417766094,10876079.555416983,18250786.41776609,2357598.988349875 
 01/09  05:00:00,,,18493175.76989849,11174788.538258582,18493175.76989849,1886079.1906798999 
 01/09  06:00:00,,,26609648.221231826,12568339.774420526,26609648.22123182,8767271.097824536 
 01/09  07:00:00,,,30777159.044343114,13926891.260147657,30777159.04434311,8731118.052940857 
 01/09  08:00:00,,,30893816.513230607,14126799.75416443,30893816.513230603,8772626.09080623 
 01/09  09:00:00,,,27380633.97143863,14770789.260995828,27380633.971438624,8716612.119373085 
 01/09  10:00:00,,,26185097.593924105,14616801.236264933,26185097.5939241,8482453.599585116 
 01/09  11:00:00,,,27486643.009871043,16175950.591785753,27486643.009871036,8216437.885890793 
 01/09  12:00:00,,,31524219.76468019,20165051.504239477,31524219.764680184,7952654.464525822 
 01/09  13:00:00,,,27751998.539074413,16275904.838794136,27751998.539074413,7848861.405663668 
 01/09  14:00:00,,,26876176.235962436,16075996.34477737,26876176.235962432,7689476.481039118 
 01/09  15:00:00,,,26615223.0060169,15876087.850760601,26615223.006016888,7613053.40497911 
 01/09  16:00:00,,,26670859.096316755,15876087.850760601,26670859.09631675,7684554.101337014 
 01/09  17:00:00,,,30618366.12918924,17423619.849209033,30618366.12918923,7734072.600744334 
 01/09  18:00:00,,,33753014.432083935,18011814.403654855,33753014.43208393,7810361.638953017 
 01/09  19:00:00,,,33602004.08972244,17811905.909638084,33602004.08972244,7859972.457572613 
 01/09  20:00:00,,,33798724.573759824,17611997.415621314,33798724.57375981,7875241.963070141 
 01/09  21:00:00,,,33547084.493661653,17412088.921604548,33547084.49366165,7848212.85664227 
 01/09  22:00:00,,,33158996.86756246,17212180.42758778,33158996.867562454,7862666.5869375365 
 01/09  23:00:00,,,29757315.98684106,14084177.858593762,29757315.986841056,7895658.316784784 
 01/09  24:00:00,,,32234446.48187189,16059483.37501275,32234446.481871884,7919420.8669511955 
 01/10  01:00:00,,,25639755.744847976,11581534.379161809,25639755.74484797,7972415.719573332 
 01/10  02:00:00,,,18331787.513141982,10976868.122852663,18331787.513141982,2357598.9883498745 
 01/10  03:00:00,,,17892248.521603946,10975649.216364183,17892248.521603946,1886079.1906798999 
 01/10  04:00:00,,,18280298.503197566,10876079.555416983,18280298.503197566,2357598.9883498745 
 01/10  05:00:00,,,21153539.69435535,11174788.538258582,21153539.69435535,2818742.804785165 
 01/10  06:00:00,,,27016997.04613757,12568339.774420526,27016997.046137564,7898315.5905684475 
 01/10  07:00:00,,,30620190.191242374,13926891.260147657,30620190.191242367,7962423.606881341 
 01/10  08:00:00,,,30145317.558425628,14126799.75416443,30145317.558425624,8023228.483738283 
 01/10  09:00:00,,,26628746.524200317,14744595.735890562,26628746.524200313,7990134.904536013 
 01/10  10:00:00,,,25618263.716159057,14616801.236264933,25618263.716159053,7915073.838833926 
 01/10  11:00:00,,,27078911.98346711,16175950.591785753,27078911.983467102,7808050.678366076 
 01/10  12:00:00,,,31188494.70285145,20165051.504239477,31188494.702851444,7616302.640685293 
 01/10  13:00:00,,,27501629.747539625,16275904.838794136,27501629.747539617,7598728.559193457 
 01/10  14:00:00,,,26697198.04774422,16075996.34477737,26697198.047744215,7510072.478626046 
 01/10  15:00:00,,,26470093.210076082,15876087.850760601,26470093.21007608,7467022.671047561 
 01/10  16:00:00,,,26562084.15055206,15911033.476854859,26562084.15055205,7539812.102950614 
 01/10  17:00:00,,,30683296.007169798,17688533.0046513,30683296.00716979,7533739.484079877 
 01/10  18:00:00,,,33464824.288094293,18011814.403654855,33464824.288094286,7521688.285699081 
 01/10  19:00:00,,,33269224.444543455,17811905.909638084,33269224.444543455,7526510.029629545 
 01/10  20:00:00,,,33095826.263451077,17611997.415621314,33095826.26345107,7553242.66455076 
 01/10  21:00:00,,,32866834.742225748,17412088.921604548,32866834.742225736,7524166.3642393015 
 01/10  22:00:00,,,32539349.49016598,17212180.42758778,32539349.49016598,7517429.349847232 
 01/10  23:00:00,,,29464531.70717721,14084177.858593762,29464531.707177207,7602403.112328714 
 01/10  24:00:00,,,32000997.73943406,16059483.37501275,32000997.739434056,7685972.189537319 
 01/11  01:00:00,,,25470206.886425193,11581534.379161809,25470206.886425193,7803163.220891053 
 01/11  02:00:00,,,18402840.85493812,10976868.122852663,18402840.854938112,2357598.9883498745 
 01/11  03:00:00,,,18014172.795179777,10975649.216364183,18014172.795179777,1886079.1906798999 
 01/11  04:00:00,,,18410305.21649159,10876079.555416983,18410305.216491587,2357598.988349875 
 01/11  05:00:00,,,20117303.050436847,11174788.538258582,20117303.050436847,3360972.116898563 
