Date/Time,Electricity:Facility [J](Monthly),NaturalGas:Facility [J](Monthly),Electricity:Facility [J](Hourly),Electricity:Building [J](Hourly),ElectricityNet:Facility [J](Hourly),Electricity:HVAC [J](Hourly) 
 01/08  06:00:00,,,22275000.081047036,10033751.855836982,22275000.081047032,6943885.3688053 
 01/08  07:00:00,,,27518898.559960634,12206460.486041443,27518898.559960634,7199978.126527328 
 01/08  08:00:00,,,27392587.846241433,12701070.948268348,27392587.846241422,7525660.766560271 
 01/08  09:00:00,,,23884903.447214596,13297881.611030232,23884903.447214596,7521986.096400405 
 01/08  10:00:00,,,23885363.551400907,13404094.388738917,23885363.551400907,7400680.3248196095 
 01/08  11:00:00,,,25285386.541141253,14978838.978239108,25285386.541141253,7225357.750263437 
 01/08  12:00:00,,,29509017.565086745,18918734.489694968,29509017.565086737,7188276.2660092665 
 01/08  13:00:00,,,25946714.2636851,15062391.42491487,25946714.263685096,7280370.579775272 
 01/08  14:00:00,,,25234862.6938901,14895286.531563342,25234862.69389009,7242528.438121928 
 01/08  15:00:00,,,24930651.835239787,14728181.638211815,24930651.835239783,7083341.236723348 
 01/08  16:00:00,,,24822446.489330295,14728181.638211815,24822446.48933029,6985093.792204879 
 01/08  17:00:00,,,26238510.643377706,15299456.4890043,26238510.6433777,7134399.810923714 
 01/08  18:00:00,,,31715801.974949077,16488292.38370697,31715801.974949073,7308675.823610321 
 01/08  19:00:00,,,31615664.22914977,16321187.490355445,31615664.229149763,7380286.043506736 
 01/08  20:00:00,,,31841788.737937856,16154082.597003916,31841788.737937853,7395982.606656042 
 01/08  21:00:00,,,31638651.867550835,15986977.703652387,31638651.867550835,7385325.587787913 
 01/08  22:00:00,,,31290216.519286685,15819872.810300859,31290216.519286677,7406373.019170135 
 01/08  23:00:00,,,29224419.4548098,14141476.56222611,29224419.454809796,7304651.930718521 
 01/08  24:00:00,,,31125844.20666616,15476451.225459158,31125844.206666153,7393850.74277567 
 01/09  01:00:00,,,23569962.455928527,10444435.60388608,23569962.455928523,7042420.825155365 
 01/09  02:00:00,,,17529704.74648355,9394575.175631016,17529704.74648355,3049201.0445949654 
 01/09  03:00:00,,,17736873.16478157,9284673.139101181,17736873.164781567,3308729.7461124295 
 01/09  04:00:00,,,17773969.860290207,9201442.170574982,17773969.860290207,3432467.6046534446 
 01/09  05:00:00,,,18318509.52038561,9451135.076153582,18318509.52038561,3297122.3752323245 
 01/09  06:00:00,,,23837302.660861053,11345193.523640286,23837302.660861053,7202269.772811615 
 01/09  07:00:00,,,29114509.31497005,13549211.934858698,29114509.314970046,7445203.715970647 
 01/09  08:00:00,,,28371106.97516714,13564767.629802361,28371106.975167133,7633091.730514086 
 01/09  09:00:00,,,24435118.18090752,13771822.835679749,24435118.18090752,7590888.297694245 
 01/09  10:00:00,,,24643722.741934363,13982554.451431494,24643722.741934363,7572872.7076274445 
 01/09  11:00:00,,,26681946.892898466,16135783.192941498,26681946.892898463,7449151.784343126 
 01/09  12:00:00,,,30842489.71374933,20075678.704397365,30842489.713749327,7351113.58673129 
 01/09  13:00:00,,,27193046.242294587,16219335.639617264,27193046.24229458,7334084.6059497185 
 01/09  14:00:00,,,26444439.389377102,16052230.746265737,26444439.3893771,7276053.275522018 
 01/09  15:00:00,,,26293333.41161162,15885125.852914209,26293333.411611613,7271809.374762461 
 01/09  16:00:00,,,26089457.12069211,15885125.852914209,26089457.120692104,7088712.633041343 
 01/09  17:00:00,,,29105667.49353064,17978577.727592453,29105667.49353064,7305777.7072354 
 01/09  18:00:00,,,34618486.44826881,19267765.81199598,34618486.4482688,7413334.47972899 
 01/09  19:00:00,,,34486469.83719132,19100660.91864445,34486469.83719132,7454144.821096461 
 01/09  20:00:00,,,34737376.05539781,18933556.02529292,34737376.0553978,7490772.968541181 
 01/09  21:00:00,,,34571231.1232754,18766451.131941393,34571231.12327539,7516404.605841932 
 01/09  22:00:00,,,34232671.84151789,18599346.238589868,34232671.84151788,7548445.584115722 
 01/09  23:00:00,,,29526092.752679188,14141476.56222611,29526092.752679188,7606504.416234666 
 01/09  24:00:00,,,31389438.0086119,15476451.225459158,31389438.008611888,7657444.543244792 
 01/10  01:00:00,,,23988945.970517598,10444435.60388608,23988945.970517598,7460713.7295466475 
 01/10  02:00:00,,,17591979.80396516,9394575.175631016,17591979.80396516,3108754.4875663063 
 01/10  03:00:00,,,18093855.022880826,9284673.139101181,18093855.022880826,3660471.9609212494 
 01/10  04:00:00,,,18201897.683978114,9201442.170574982,18201897.68397811,3859690.774083754 
 01/10  05:00:00,,,20403503.521594938,9451135.076153582,20403503.521594938,3757883.9553963323 
 01/10  06:00:00,,,25479908.42814663,11345193.523640286,25479908.42814663,7591721.918887162 
 01/10  07:00:00,,,30032172.643862773,13549211.934858698,30032172.643862765,7751786.341198683 
 01/10  08:00:00,,,28358537.129369847,13484315.29039738,28358537.129369844,7701161.710225917 
 01/10  09:00:00,,,24426943.803262565,13731897.1114042,24426943.803262558,7622126.831978193 
 01/10  10:00:00,,,24613391.278267674,13982554.451431494,24613391.278267674,7542595.239991959 
 01/10  11:00:00,,,26394907.818298306,16135783.192941498,26394907.8182983,7162571.845001072 
 01/10  12:00:00,,,30705396.659858964,20075678.704397365,30705396.659858953,7216083.369723735 
 01/10  13:00:00,,,27035446.49880322,16219335.639617264,27035446.498803217,7172914.736311309 
 01/10  14:00:00,,,26289222.171380207,16052230.746265737,26289222.1713802,7117447.6945179645 
 01/10  15:00:00,,,25809977.752074026,15885125.852914209,25809977.752074018,6794901.7343603475 
 01/10  16:00:00,,,25545332.582727913,15885125.852914209,25545332.582727913,6543502.238030009 
 01/10  17:00:00,,,27940405.971323136,17403127.08849073,27940405.971323133,6712818.683972941 
 01/10  18:00:00,,,34275906.472611085,19267765.81199598,34275906.472611085,7064244.8837573845 
 01/10  19:00:00,,,34256697.65107481,19100660.91864445,34256697.651074804,7216069.057931276 
 01/10  20:00:00,,,34060104.30506299,18933556.02529292,34060104.30506299,7190258.370516848 
 01/10  21:00:00,,,33816854.27962156,18766451.131941393,33816854.27962155,7113774.888792057 
 01/10  22:00:00,,,33224749.226966362,18599346.238589868,33224749.22696636,6809981.29411815 
 01/10  23:00:00,,,28520178.393154852,14141476.56222611,28520178.39315484,6598360.973335525 
 01/10  24:00:00,,,30078564.6691184,15476451.225459158,30078564.66911839,6345997.969281893 
 01/11  01:00:00,,,22564367.28644091,10444435.60388608,22564367.286440905,6034914.641510698 
 01/11  02:00:00,,,16613041.726648424,9394575.175631016,16613041.726648424,2115337.6707115117 
 01/11  03:00:00,,,16636212.22466677,9284673.139101181,16636212.22466677,2205338.885463305 
 01/11  04:00:00,,,16465982.892998416,9201442.170574982,16465982.892998416,2092053.2868013522 
 01/11  05:00:00,,,17264527.284548774,9451135.076153582,17264527.284548774,2247501.045622168 
 01/11  06:00:00,,,22542982.097969495,11345193.523640286,22542982.09796949,5894982.499576917 
 01/11  07:00:00,,,27631145.758014143,13549211.934858698,27631145.75801413,5945932.498726839 
 01/11  08:00:00,,,27092297.61097926,13659219.568225017,27092297.61097925,6234242.4597949935 
 01/11  09:00:00,,,23923259.262896165,14658494.670656063,23923259.262896165,6154390.735554299 
 01/11  10:00:00,,,23160551.588137757,13982554.451431494,23160551.588137753,6036994.006251969 
 01/11  11:00:00,,,25042389.71050407,16135783.192941498,25042389.71050407,5741414.548787762 
 01/11  12:00:00,,,29357631.050451297,20075678.704397365,29357631.050451297,5790607.094964579 
 01/11  13:00:00,,,25899374.192609124,16219335.639617264,25899374.192609116,5948504.779719206 
 01/11  14:00:00,,,25089681.21075681,16052230.746265737,25089681.21075681,5822546.931249682 
 01/11  15:00:00,,,24727376.201912247,15885125.852914209,24727376.201912247,5582507.419851672 
 01/11  16:00:00,,,24507259.82467446,15885125.852914209,24507259.82467446,5401742.719094852 
 01/11  17:00:00,,,26508917.098556504,17153712.421968218,26508917.098556504,5446543.849888989 
 01/11  18:00:00,,,32853416.986957666,19267765.81199598,32853416.98695766,5562943.622139938 
 01/11  19:00:00,,,33223825.14072918,19100660.91864445,33223825.140729178,6112961.012640717 
 01/11  20:00:00,,,33913415.67459734,18933556.02529292,33913415.67459733,6615919.054243262 
 01/11  21:00:00,,,33929666.14210363,18766451.131941393,33929666.14210363,6844427.220102485 
 01/11  22:00:00,,,33376558.31061205,18599346.238589868,33376558.310612045,6680864.031847391 
 01/11  23:00:00,,,28555878.371621132,14141476.56222611,28555878.371621132,6629173.046514466 
 01/11  24:00:00,,,30390471.87319205,15476451.225459158,30390471.873192042,6654741.666909342 
 01/12  01:00:00,,,23038698.326135438,10444435.60388608,23038698.326135434,6519338.248748049 
 01/12  02:00:00,,,17207773.335594635,9394575.175631016,17207773.335594635,2721361.202313832 
 01/12  03:00:00,,,17358153.888042267,9284673.139101181,17358153.888042267,2939641.143898406 
 01/12  04:00:00,,,18410848.141325217,9201442.170574982,18410848.141325213,4065147.0015326664 
 01/12  05:00:00,,,18202079.212066147,9451135.076153582,18202079.212066147,3206516.139276572 
 01/12  06:00:00,,,23654935.898684673,11345193.523640286,23654935.898684673,7005118.726682031 
 01/12  07:00:00,,,28948680.92971798,13549211.934858698,28948680.929717977,7279220.093723959 
 01/12  08:00:00,,,28291893.213945523,13510989.184139349,28291893.21394552,7607761.523340575 
 01/12  09:00:00,,,24450178.177777477,13731897.1114042,24450178.17777747,7647106.762737498 
 01/12  10:00:00,,,24725378.409903727,13982554.451431494,24725378.409903724,7656620.630870367 
