Date/Time,Electricity:Facility [J](Monthly),NaturalGas:Facility [J](Monthly),Electricity:Facility [J](Hourly),Electricity:Building [J](Hourly),ElectricityNet:Facility [J](Hourly),Electricity:HVAC [J](Hourly) 
 01/08  14:00:00,,,22874753.76753321,13305726.970253883,22874753.767533205,6674282.826398483 
 01/08  15:00:00,,,22596184.986547995,13155658.948039345,22596184.98654799,6522431.991658941 
 01/08  16:00:00,,,22569924.320420604,13155658.948039345,22569924.3204206,6505688.0729648415 
 01/08  17:00:00,,,23840392.44220807,13632247.878427263,23840392.44220807,6603353.843941519 
 01/08  18:00:00,,,29117956.49566523,14678129.841812972,29117956.49566523,6721228.6520549245 
 01/08  19:00:00,,,29163035.81411961,14528061.819598438,29163035.81411961,6924533.224004188 
 01/08  20:00:00,,,29528760.154932924,14377993.797383903,29528760.15493292,7078966.883038222 
 01/08  21:00:00,,,29465221.024217624,14227925.775169363,29465221.02421762,7194194.298986897 
 01/08  22:00:00,,,28835886.499381103,14077857.752954831,28835886.4993811,6905328.640132793 
 01/08  23:00:00,,,26928581.505049307,12598773.064778566,26928581.505049303,6747275.98810342 
 01/08  24:00:00,,,29146347.199121624,14230163.41379362,29146347.199121624,6845994.711781191 
 01/09  01:00:00,,,21898256.984328873,9382130.04470057,21898256.98432887,6653754.670592742 
 01/09  02:00:00,,,14365279.54303147,8494172.147170749,14365279.543031469,966668.5834693783 
 01/09  03:00:00,,,14391693.737443212,8406448.159530781,14391693.737443212,988100.219715102 
 01/09  04:00:00,,,14519518.50359791,8331702.850861384,14519518.503597906,1146201.800854949 
 01/09  05:00:00,,,15031793.600985399,8555938.776869582,15031793.600985399,984047.6233695151 
 01/09  06:00:00,,,22040392.310422648,10185777.656172892,22040392.310422648,6742919.44657979 
 01/09  07:00:00,,,26937863.0522362,12095087.231322683,26937863.052236192,6930871.980747648 
 01/09  08:00:00,,,26421990.01237091,12109867.944857404,26421990.012370907,7345996.873634111 
 01/09  09:00:00,,,22451106.375699148,12306893.821804792,22451106.375699148,7279176.143757237 
 01/09  10:00:00,,,22606477.483180813,12501906.748003354,22606477.48318081,7223421.260699493 
 01/09  11:00:00,,,24120017.10906883,14388042.757655855,24120017.109068826,6839965.799815777 
 01/09  12:00:00,,,28501153.310816437,18302382.962406233,28501153.310816433,6968044.9001043225 
 01/09  13:00:00,,,25067376.75497388,14463076.768763129,25067376.754973877,7211428.151320197 
 01/09  14:00:00,,,24229151.998551242,14313008.746548591,24229151.998551242,7002941.554398901 
